"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"0.682","0.562","2","-5.844","1","0.0292","0.335","0.00000487","0.133","0.643","115.998","240022","4"
"0.574","0.37","5","-9.487","1","0.027","0.557","0.0000223","0.0806","0.372","76.863","236395","4"
"0.505","0.487","6","-7.05","1","0.0338","0.745","0","0.162","0.14","133.957","247254","4"
"0.636","0.481","7","-10.746","0","0.0331","0.275","0.0000342","0.107","0.469","89.996","207302","4"
"0.68","0.652","7","-6.851","1","0.0366","0.0222","0.0000272","0.286","0.858","124.948","295700","4"
"0.7","0.486","9","-6.869","1","0.0369","0.78","0.000021","0.105","0.673","96.059","182656","4"
"0.579","0.215","5","-8.893","1","0.0359","0.895","0.00000287","0.0918","0.291","116.526","239353","4"
"0.736","0.411","7","-6.705","1","0.0299","0.23","0","0.0668","0.798","94.998","208104","4"
"0.691","0.598","9","-6.818","0","0.0902","0.352","0","0.321","0.497","89.992","226367","4"
"0.647","0.318","9","-9.888","1","0.0323","0.918","0.000147","0.133","0.372","129.851","272631","4"
"0.541","0.327","0","-9.046","1","0.0285","0.795","0.00000417","0.152","0.439","109.636","239000","4"
"0.339","0.218","8","-11.281","0","0.0314","0.572","0","0.0955","0.327","127.576","240506","4"
"0.603","0.469","10","-6.908","1","0.064","0.772","0.00000244","0.176","0.681","74.998","210197","4"
"0.416","0.673","0","-5.283","1","0.0628","0.205","0","0.112","0.758","94.999","232421","4"
"0.55","0.579","9","-7.988","0","0.0455","0.0241","0.0004","0.44","0.304","94.965","225474","4"
"0.658","0.48","5","-6.424","1","0.0396","0.745","0","0.295","0.541","108.788","237000","4"
"0.566","0.583","0","-7.456","1","0.0365","0.321","0.00000204","0.102","0.464","112.004","244459","4"
"0.415","0.675","7","-4.787","1","0.0556","0.599","0","0.204","0.7","80.894","207864","4"
"0.578","0.529","7","-7.752","1","0.0281","0.673","0.00000331","0.16","0.407","89.957","218523","4"
"0.623","0.439","9","-7.737","1","0.0294","0.713","0","0.0905","0.695","122.862","218427","4"
"0.615","0.395","9","-7.366","1","0.0278","0.811","0","0.0917","0.331","138.047","255560","4"
"0.678","0.204","2","-10.371","1","0.0525","0.832","0","0.118","0.299","115.795","241393","4"
"0.559","0.337","4","-13.087","1","0.0305","0.878","0.000156","0.185","0.19","112.464","212000","3"
"0.445","0.65","0","-4.862","1","0.0266","0.0831","0.00000842","0.21","0.375","73.98","241632","4"
"0.515","0.649","4","-6.278","1","0.0338","0.355","0.00155","0.175","0.35","120.003","243413","4"
"0.544","0.172","2","-11.974","1","0.0352","0.923","0.0117","0.0916","0.341","135.764","200454","4"
"0.498","0.203","8","-11.577","1","0.0297","0.905","0.0000994","0.146","0.358","65.827","234915","4"
"0.678","0.531","0","-10.92","1","0.0384","0.393","0.0016","0.125","0.574","149.393","216265","4"
"0.525","0.801","9","-4.74","1","0.0357","0.00548","0.00015","0.107","0.628","179.934","223500","4"
"0.544","0.301","0","-7.6","1","0.0265","0.874","0","0.197","0.251","135.699","229632","4"
"0.446","0.521","1","-8.371","0","0.0548","0.518","0.0000144","0.118","0.528","92.025","273231","3"
"0.803","0.451","6","-9.004","0","0.461","0.0667","0","0.385","0.383","134.88","227574","4"
"0.571","0.377","9","-10.28","0","0.0483","0.41","0","0.157","0.483","133.756","228267","4"
"0.599","0.458","11","-8.075","0","0.0777","0.316","0.000479","0.116","0.498","78.038","255126","4"
"0.749","0.621","3","-7.181","1","0.103","0.115","0.148","0.291","0.38","149.991","229219","4"
"0.528","0.644","11","-5.991","0","0.0433","0.055","0.00000737","0.105","0.363","130.008","214647","4"
"0.549","0.803","11","-4.228","1","0.103","0.255","0","0.0635","0.751","83.863","211056","4"
"0.45","0.534","10","-6.766","0","0.113","0.574","0.000961","0.18","0.193","129.125","186582","4"
"0.547","0.504","5","-7.909","0","0.0478","0.779","0","0.155","0.155","119.895","188000","4"
"0.563","0.461","10","-7.083","0","0.0402","0.353","0.00000459","0.111","0.218","122.544","180597","4"
"0.661","0.426","11","-8.157","0","0.2","0.461","0","0.153","0.481","128.022","193907","4"
"0.683","0.856","11","-3.108","0","0.0812","0.26","0.00000392","0.12","0.655","89.977","245799","4"
"0.659","0.673","4","-5.733","1","0.16","0.492","0.0000178","0.472","0.702","86.974","215862","4"
"0.731","0.397","6","-9.998","0","0.048","0.163","0","0.259","0.198","107.941","171520","4"
"0.712","0.539","3","-7.249","0","0.0432","0.609","0","0.0973","0.5","92.96","175484","4"
"0.674","0.491","5","-7.551","1","0.067","0.0527","0.0000296","0.118","0.677","69.04","213913","4"
"0.708","0.566","0","-10.026","1","0.0445","0.609","0.133","0.0844","0.878","159.992","300826","4"
"0.799","0.322","7","-10.921","0","0.123","0.165","0.00000872","0.115","0.451","83.997","220714","4"
