"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","name","artist","popularity"
"0.682","0.562","2","-5.844","1","0.0292","0.335","0.00000487","0.133","0.643","115.998","240022","4","Bicara (feat. Monita Tahalea)","TheOvertunes","66"
"0.574","0.37","5","-9.487","1","0.027","0.557","0.0000223","0.0806","0.372","76.863","236395","4","Hargai Cinta","Rizky Febian","51"
"0.505","0.487","6","-7.05","1","0.0338","0.745","0","0.162","0.14","133.957","247254","4","Satu-Satunya","Hivi!","53"
"0.636","0.481","7","-10.746","0","0.0331","0.275","0.0000342","0.107","0.469","89.996","207302","4","Labirin","Tulus","67"
"0.68","0.652","7","-6.851","1","0.0366","0.0222","0.0000272","0.286","0.858","124.948","295700","4","Planet Tempat Ku Sembunyi","Arsy Widianto","50"
"0.7","0.486","9","-6.869","1","0.0369","0.78","0.000021","0.105","0.673","96.059","182656","4","Teman Bahagia","Jaz","67"
"0.579","0.215","5","-8.893","1","0.0359","0.895","0.00000287","0.0918","0.291","116.526","239353","4","So In Love","Marion Jola","64"
"0.736","0.411","7","-6.705","1","0.0299","0.23","0","0.0668","0.798","94.998","208104","4","Dengan Caraku","Arsy Widianto","69"
"0.691","0.598","9","-6.818","0","0.0902","0.352","0","0.321","0.497","89.992","226367","4","Karna Su Sayang (Acoustic Version)","AVIWKILA","68"
"0.647","0.318","9","-9.888","1","0.0323","0.918","0.000147","0.133","0.372","129.851","272631","4","Indah Pada Waktunya","Rizky Febian","50"
"0.541","0.327","0","-9.046","1","0.0285","0.795","0.00000417","0.152","0.439","109.636","239000","4","Menyimpan Rasa","Devano Danendra","60"
"0.339","0.218","8","-11.281","0","0.0314","0.572","0","0.0955","0.327","127.576","240506","4","Jangan","Marion Jola","69"
"0.603","0.469","10","-6.908","1","0.064","0.772","0.00000244","0.176","0.681","74.998","210197","4","Mine (Night)","Dipha Barus","24"
"0.416","0.673","0","-5.283","1","0.0628","0.205","0","0.112","0.758","94.999","232421","4","Rinduku","Ghea Indrawari","55"
"0.55","0.579","9","-7.988","0","0.0455","0.0241","0.0004","0.44","0.304","94.965","225474","4","Menari","Rizky Febian","26"
"0.658","0.48","5","-6.424","1","0.0396","0.745","0","0.295","0.541","108.788","237000","4","Tunggu Apa Lagi","Lalahuta","60"
"0.566","0.583","0","-7.456","1","0.0365","0.321","0.00000204","0.102","0.464","112.004","244459","4","Berdua Bersama (Milly & Mamet Original Motion Picture Soundtrack)","Jaz","50"
"0.415","0.675","7","-4.787","1","0.0556","0.599","0","0.204","0.7","80.894","207864","4","Remaja","Hivi!","65"
"0.578","0.529","7","-7.752","1","0.0281","0.673","0.00000331","0.16","0.407","89.957","218523","4","Jingga","Fatin","57"
"0.623","0.439","9","-7.737","1","0.0294","0.713","0","0.0905","0.695","122.862","218427","4","Muara","Adera","65"
"0.615","0.395","9","-7.366","1","0.0278","0.811","0","0.0917","0.331","138.047","255560","4","Sebuah Lagu","Payung Teduh","46"
"0.678","0.204","2","-10.371","1","0.0525","0.832","0","0.118","0.299","115.795","241393","4","Tentang Rindu","Virzha","67"
"0.559","0.337","4","-13.087","1","0.0305","0.878","0.000156","0.185","0.19","112.464","212000","3","Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")","Fourtwnty","68"
"0.445","0.65","0","-4.862","1","0.0266","0.0831","0.00000842","0.21","0.375","73.98","241632","4","Buka Hati","Yura Yunita","61"
"0.515","0.649","4","-6.278","1","0.0338","0.355","0.00155","0.175","0.35","120.003","243413","4","Pupus","Hanin Dhiya","65"
"0.544","0.172","2","-11.974","1","0.0352","0.923","0.0117","0.0916","0.341","135.764","200454","4","Bitterlove","Ardhito Pramono","61"
"0.498","0.203","8","-11.577","1","0.0297","0.905","0.0000994","0.146","0.358","65.827","234915","4","Film Favorit","Sheila On 7","65"
"0.678","0.531","0","-10.92","1","0.0384","0.393","0.0016","0.125","0.574","149.393","216265","4","Menunggu Kamu - OST Jelita Sejuba","Anji","66"
"0.525","0.801","9","-4.74","1","0.0357","0.00548","0.00015","0.107","0.628","179.934","223500","4","Heaven","Afgan","62"
"0.544","0.301","0","-7.6","1","0.0265","0.874","0","0.197","0.251","135.699","229632","4","Lagu Hari Ini","GAC (Gamaliél Audrey Cantika)","56"
"0.54","0.285","3","-10.053","1","0.0475","0.741","0","0.152","0.434","87.789","218507","4","Rindu","Dengarkan Dia","53"
"0.815","0.667","9","-4.887","1","0.0743","0.312","0","0.0829","0.533","104.047","213886","4","Ini Aku","Devano Danendra","54"
"0.533","0.409","7","-9.953","1","0.0319","0.874","0.368","0.126","0.317","79.018","223192","4","Selamanya Untukmu (#TemanNaura)","Naura","52"
"0.511","0.544","3","-5.685","1","0.025","0.197","0.0138","0.124","0.282","82.521","196314","4","Tak Selamanya Indah","Mario G klau","52"
"0.5","0.346","5","-9.463","1","0.0239","0.439","0.0285","0.13","0.161","84.931","209547","4","Topik Semalam","Kunto Aji","58"
"0.582","0.523","0","-8.624","1","0.029","0.431","0","0.114","0.4","143.894","242813","4","Winter Song","Isyana Sarasvati","55"
"0.647","0.443","5","-8.871","1","0.0362","0.779","0.00000189","0.107","0.302","95.988","291907","3","Sudah","Afgan","53"
"0.725","0.461","0","-9.184","0","0.0839","0.717","0.0134","0.12","0.298","115.968","201209","4","Harta Berharga - From ""Keluarga Cemara""","Bunga Citra Lestari","48"
"0.39","0.588","11","-6.85","0","0.0426","0.67","0","0.0952","0.258","135.923","211753","4","Asal Kau Bahagia","Hanin Dhiya","52"
"0.533","0.305","11","-10.229","1","0.0267","0.925","0.0000446","0.113","0.233","128.033","231992","4","Seirama","Ify Alyssa","51"
"0.513","0.396","7","-6.703","1","0.0325","0.755","0","0.245","0.207","129.568","232798","4","My Kind of Crazy","Raisa","61"
"0.326","0.478","2","-9.891","1","0.0318","0.439","0.000571","0.125","0.201","82.392","204436","4","Karenamu","Rahmania Astrini","45"
"0.631","0.603","7","-8.154","1","0.0555","0.325","0.0000253","0.178","0.511","81.033","260801","4","<3","Ben Sihombing","53"
